com.samsung.health.sleep_stage,6307003,7
create_sh_ver,start_time,sleep_id,custom,modify_sh_ver,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
62920010,2025-02-21 19:54:30.000,4019d202-f63e-41cf-8a73-ffc3b0db5872,,62920010,2025-02-22 03:43:17.081,2025-02-22 03:43:17.081,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-21 19:55:00.000,f5546cef-be46-4440-bb43-a67d722a6a44,
62930070,2025-02-22 05:27:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.620,2025-02-22 12:33:08.620,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 05:42:00.000,5cfd9e46-05fe-4e13-95b0-0146f68e116a,
62930070,2025-02-22 05:42:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 05:43:00.000,b7749f6f-81e0-4a1f-b420-923679847ce1,
62930070,2025-02-22 05:43:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 05:50:30.000,a4a46c3e-c227-4233-bfb1-f2473648a5c4,
62930070,2025-02-22 05:50:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 05:51:30.000,5f0fc2f8-cc14-443e-b7e4-f927b7000bba,
62930070,2025-02-22 05:51:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 05:58:30.000,b8aef5c6-c2a6-4495-8780-9ffda88f3aa3,
62930070,2025-02-22 05:58:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40003,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 06:18:30.000,ea0ded68-635b-4aa5-9c63-1eba80c2c0a1,
62930070,2025-02-22 06:18:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 06:19:00.000,862b36b9-dc1c-481d-8d43-d1b13a1e9ded,
62930070,2025-02-22 06:19:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 06:24:30.000,33e62644-8148-4d09-aaef-894dfbbe602c,
62930070,2025-02-22 06:24:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40003,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 06:45:30.000,70d28d08-2fce-4f6f-9b45-57d393beca73,
62930070,2025-02-22 06:45:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 06:46:30.000,1d2c5bb1-591c-4209-9825-a3ae19924e57,
62930070,2025-02-22 06:46:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 06:49:30.000,f5f19958-4d25-4127-916c-70c5bf98cd03,
62930070,2025-02-22 06:49:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40004,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:19:00.000,b0712552-f890-4e39-aba6-297d38850e63,
62930070,2025-02-22 07:19:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:36:00.000,fa961a7c-1cf2-4a5c-a7a9-5f6d1249b30e,
62930070,2025-02-22 07:36:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40003,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:37:30.000,d1f2f4ea-c8c9-4eec-b393-1da96c77df9f,
62930070,2025-02-22 07:37:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:40:00.000,99d9fd0c-4457-42c0-b1f0-cb8a1e09ee53,
62930070,2025-02-22 07:40:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40003,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:42:00.000,794d2ec2-1db9-4899-810d-597e9ed04ca5,
62930070,2025-02-22 07:42:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:45:00.000,45d4022e-81f6-44e4-ac41-b35e9c43bd12,
62930070,2025-02-22 07:45:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40003,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:47:00.000,68962f31-4596-40a1-ba38-2539960bac67,
62930070,2025-02-22 07:47:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:47:30.000,723a640c-23da-47ca-953a-29ebe609ebc5,
62930070,2025-02-22 07:47:30.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40003,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:55:00.000,ce8dd278-ff09-4325-a6cf-c82689482285,
62930070,2025-02-22 07:55:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.621,2025-02-22 12:33:08.621,40001,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 07:56:00.000,2bf44b79-d5fe-4e5a-a804-cdb7730d90a5,
62930070,2025-02-22 07:56:00.000,4feb1f44-f3f3-4082-9bae-dbe7a028bed1,,62930070,2025-02-22 12:33:08.622,2025-02-22 12:33:08.622,40002,UTC-0500,ZYfDZ77fyr,com.sec.android.app.shealth,2025-02-22 08:12:30.000,9811b621-095b-4257-ade0-a3859203daca,
