com.samsung.shealth.tracker.pedometer_day_summary,6307003,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,5843,e9c10a55-34d8-461e-b824-1c64320245a3.binning_data.json,1588044,6000,,25,2019-08-14 18:07:26.617,com.sec.android.app.shealth,2019-08-13 19:51:37.995,e9c10a55-34d8-461e-b824-1c64320245a3.source_info.json,1.2560854,1994.72,225.20999,5818,VfS0qUERdZ,com.sec.android.app.shealth,0,e9c10a55-34d8-461e-b824-1c64320245a3.achievement.json,e9c10a55-34d8-461e-b824-1c64320245a3,1565740800000,
,8892,34360d55-15b1-4002-b708-191947e3cdb8.binning_data.json,2618211,6000,,15,2019-09-30 14:15:20.574,com.sec.android.app.shealth,2019-09-29 18:30:01.668,,1.8611114,3126.1802,532.7899,8877,NCYwqyvfDX,com.sec.android.app.shealth,0,34360d55-15b1-4002-b708-191947e3cdb8.achievement.json,34360d55-15b1-4002-b708-191947e3cdb8,1569801600000,
,785,c3084346-2f60-47ae-bccd-3ca02c0a933d.binning_data.json,451224,6000,,41,2019-11-24 17:58:19.819,com.sec.android.app.shealth,2019-11-23 18:30:09.670,c3084346-2f60-47ae-bccd-3ca02c0a933d.source_info.json,1.554393,701.38,40.399998,744,VfS0qUERdZ,com.sec.android.app.shealth,0,c3084346-2f60-47ae-bccd-3ca02c0a933d.achievement.json,c3084346-2f60-47ae-bccd-3ca02c0a933d,1574553600000,
,2398,00801d86-b14f-44c4-8dd4-55b3784bc64b.binning_data.json,1456519,6000,,0,2020-04-09 18:30:01.148,com.sec.android.app.shealth,2020-04-09 18:30:01.148,,1.9103588,1833.6,98.61999,2398,NCYwqyvfDX,com.sec.android.app.shealth,0,00801d86-b14f-44c4-8dd4-55b3784bc64b.achievement.json,00801d86-b14f-44c4-8dd4-55b3784bc64b,1586390400000,
,6010,4123d68c-cb6b-47d6-a0d0-14f9f7feaf10.binning_data.json,3616184,6000,,8,2019-10-15 17:40:00.738,com.sec.android.app.shealth,2019-10-15 02:19:36.744,4123d68c-cb6b-47d6-a0d0-14f9f7feaf10.source_info.json,1.2398484,4483.52,356.81995,6002,VfS0qUERdZ,com.sec.android.app.shealth,0,4123d68c-cb6b-47d6-a0d0-14f9f7feaf10.achievement.json,4123d68c-cb6b-47d6-a0d0-14f9f7feaf10,1571097600000,
,2696,7b1a83a8-54ee-4d4a-a56f-739d05a2afce.binning_data.json,1619805,6000,,17,2020-03-06 18:30:01.269,com.sec.android.app.shealth,2020-03-06 18:30:01.269,,1.9781017,2074.81,111.42,2679,NCYwqyvfDX,com.sec.android.app.shealth,0,7b1a83a8-54ee-4d4a-a56f-739d05a2afce.achievement.json,7b1a83a8-54ee-4d4a-a56f-739d05a2afce,1583452800000,
,2715,409e41ba-333b-48ca-9c1c-29594dc2d7aa.binning_data.json,581427,6000,,2,2019-07-04 17:55:04.208,com.sec.android.app.shealth,2019-07-04 05:20:24.385,409e41ba-333b-48ca-9c1c-29594dc2d7aa.source_info.json,1.2567348,730.7,100.47,2713,VfS0qUERdZ,com.sec.android.app.shealth,0,409e41ba-333b-48ca-9c1c-29594dc2d7aa.achievement.json,409e41ba-333b-48ca-9c1c-29594dc2d7aa,1562198400000,
,850,72349759-8241-4bc6-861c-75fa1d9c2f7a.binning_data.json,498129,6000,,0,2020-03-25 18:30:01.502,com.sec.android.app.shealth,2020-03-25 18:30:01.502,,2.5833333,657.17,35.14,850,NCYwqyvfDX,com.sec.android.app.shealth,0,72349759-8241-4bc6-861c-75fa1d9c2f7a.achievement.json,72349759-8241-4bc6-861c-75fa1d9c2f7a,1585094400000,
,1994,7586035c-8fdf-4dce-963f-257c2954080d.binning_data.json,503342,6000,,9,2019-07-27 18:03:42.396,com.sec.android.app.shealth,2019-07-26 18:53:05.500,7586035c-8fdf-4dce-963f-257c2954080d.source_info.json,1.3332281,671.07,81.86,1985,VfS0qUERdZ,com.sec.android.app.shealth,0,7586035c-8fdf-4dce-963f-257c2954080d.achievement.json,7586035c-8fdf-4dce-963f-257c2954080d,1564185600000,
,10288,93f63170-0154-4c2f-880a-67395e067ec5.binning_data.json,2932117,6000,,47,2019-08-20 18:30:01.069,com.sec.android.app.shealth,2019-08-20 18:30:01.069,,2.7777774,3462.8105,619.64984,10241,NCYwqyvfDX,com.sec.android.app.shealth,0,93f63170-0154-4c2f-880a-67395e067ec5.achievement.json,93f63170-0154-4c2f-880a-67395e067ec5,1566259200000,
