com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-02-26 17:09:40.000,,2025-02-26 17:14:40.570,2025-02-26 17:14:40.570,,,1.0,77c72932-dabd-46b0-9f1a-f7d9575679c5.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 17:14:24.000,77c72932-dabd-46b0-9f1a-f7d9575679c5,
2025-02-26 17:14:24.000,,2025-02-26 18:42:49.400,2025-02-26 18:42:49.400,,,1.0,7cb4c77b-2540-49a7-b6b5-162046948f94.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 18:42:11.000,7cb4c77b-2540-49a7-b6b5-162046948f94,
2025-02-26 18:42:11.000,,2025-02-26 18:46:45.843,2025-02-26 18:46:45.843,,,1.0,edf60c5e-3d46-4d0e-8177-ab4945ba3002.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 18:46:01.000,edf60c5e-3d46-4d0e-8177-ab4945ba3002,
2025-02-26 18:46:01.001,,2025-02-26 18:49:41.462,2025-02-26 18:49:41.462,,,1.0,ce76f048-138c-463d-b532-a91f7ea3d5c4.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-26 18:47:17.001,ce76f048-138c-463d-b532-a91f7ea3d5c4,
2025-02-27 05:12:10.776,,2025-02-27 16:16:53.446,2025-02-27 16:16:53.404,,,3.0,eb19a10a-c6a0-4c4c-ad81-cbbf5ceb5227.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-27 16:16:12.000,eb19a10a-c6a0-4c4c-ad81-cbbf5ceb5227,
2025-02-27 16:16:12.000,,2025-02-27 17:54:44.023,2025-02-27 17:53:58.108,,,4.0,dc5b8713-9d8e-4251-93c9-a07e377c3be3.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-27 17:53:46.999,dc5b8713-9d8e-4251-93c9-a07e377c3be3,
2025-02-28 05:00:00.000,,2025-02-28 19:55:44.874,2025-02-28 19:55:44.802,,,2.0,c2b1f4d7-1ec2-4da9-a963-ecc2aed95e5f.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-28 19:55:18.000,c2b1f4d7-1ec2-4da9-a963-ecc2aed95e5f,
2025-02-28 19:55:18.000,,2025-02-28 21:15:59.627,2025-02-28 21:15:59.627,,,1.0,ba4fab46-49fd-4377-b8dc-8eb4705e0e18.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-28 21:15:18.000,ba4fab46-49fd-4377-b8dc-8eb4705e0e18,
2025-02-28 21:15:18.000,,2025-02-28 21:55:11.721,2025-02-28 21:55:11.721,,,1.0,42e64bd5-9bdb-4753-ada9-c05494bd9e6a.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-02-28 21:53:29.000,42e64bd5-9bdb-4753-ada9-c05494bd9e6a,
2025-03-01 05:00:00.364,,2025-03-01 19:55:59.051,2025-03-01 19:55:58.980,,,2.0,89922b9d-c39d-422b-be4c-0e2092f885e2.raw_data.json,UTC-0500,dWuXRdP6N2,com.sec.android.app.shealth,2025-03-01 18:06:58.001,89922b9d-c39d-422b-be4c-0e2092f885e2,
