com.samsung.health.water_intake,6307003,6
start_time,amount,custom,update_time,create_time,client_data_id,client_data_ver,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2020-07-20 12:15:22.298,250.0,,2020-07-20 12:15:22.654,2020-07-20 12:15:22.654,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,4d563319-8b2f-4554-9179-988cb07abeeb,
2020-07-16 16:29:38.691,250.0,,2020-07-16 16:29:39.058,2020-07-16 16:29:39.058,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,a68fe1e9-cba3-4119-88bc-8da9df985c77,
2020-07-12 10:03:12.716,250.0,,2020-07-12 10:03:13.072,2020-07-12 10:03:13.072,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,3dff0277-fb76-4fcb-9410-9b448d339d9d,
2020-07-10 15:00:47.392,250.0,,2020-07-10 15:00:47.749,2020-07-10 15:00:47.749,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,36ad8ae0-87fa-4040-9698-f86571810941,
2020-07-10 07:33:22.503,250.0,,2020-07-10 07:33:22.858,2020-07-10 07:33:22.858,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,559bae7a-1ef6-4d6b-a81f-3d99988e1b4c,
2020-07-27 13:36:25.381,250.0,,2020-07-27 13:36:25.746,2020-07-27 13:36:25.746,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,81b9a0fb-d962-47d1-ba50-6b3e61f291c1,
2020-07-27 13:36:27.152,250.0,,2020-07-27 13:36:27.516,2020-07-27 13:36:27.516,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,54ee90c3-63f1-4590-ba4d-ce44ad0bff2e,
2020-07-29 18:11:02.957,250.0,,2020-07-29 18:11:03.330,2020-07-29 18:11:03.330,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,9df6ff08-351e-4283-9a88-e4ea750ce1d4,
2020-07-18 05:28:57.073,250.0,,2020-07-18 05:28:57.432,2020-07-18 05:28:57.432,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,f13dc40e-b2d0-4309-ad23-1f47ef3eca56,
2020-07-16 16:29:39.187,250.0,,2020-07-16 16:29:39.550,2020-07-16 16:29:39.550,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,ebb47ef9-3851-417d-99ed-15e3659419f7,
2020-07-15 15:50:44.433,250.0,,2020-07-15 15:50:44.796,2020-07-15 15:50:44.796,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,323fa640-582c-4fc5-9c2e-d576d0c444a4,
2020-07-09 15:10:33.714,250.0,,2020-07-09 15:10:34.070,2020-07-09 15:10:34.070,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,0e1770ef-cbfc-4261-be1b-26a6c2615349,
2020-07-18 13:34:40.337,250.0,,2020-07-18 13:34:40.707,2020-07-18 13:34:40.707,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,64419e86-ac24-4b9a-8288-16fa788d77c4,
2020-07-13 10:04:10.656,250.0,,2020-07-13 10:04:11.012,2020-07-13 10:04:11.012,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,0a9c2dc5-6652-4b07-a575-062f30fc4a41,
2020-07-11 07:06:47.364,250.0,,2020-07-11 07:06:47.719,2020-07-11 07:06:47.719,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,d09a4518-3645-45b2-9530-66bfdadd94d1,
2020-07-20 15:51:27.405,250.0,,2020-07-20 15:51:27.771,2020-07-20 15:51:27.771,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,7790ff87-6ead-4545-9e2b-97517356cab0,
2020-07-15 07:40:27.696,250.0,,2020-07-15 07:40:28.054,2020-07-15 07:40:28.054,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,5b4cd3ce-38b8-42fb-aaaf-0f77447101d5,
2020-07-10 15:00:48.190,250.0,,2020-07-10 15:00:48.546,2020-07-10 15:00:48.546,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,04eea539-036f-4767-9614-b17e22b4fb12,
2021-04-10 17:56:19.171,250.0,,2021-04-10 17:56:19.532,2021-04-10 17:56:19.532,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,54f656d3-fa8d-4c94-9083-5c1aae15c5b4,
2020-07-17 07:10:09.548,250.0,,2020-07-17 07:10:09.919,2020-07-17 07:10:09.919,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,142ad71a-aa86-464d-aa08-f73c96ba7a39,
2020-07-12 10:03:07.649,250.0,,2020-07-12 10:03:08.008,2020-07-12 10:03:08.008,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,a4ead41e-10c4-4213-81c8-b0302294e2ad,
2020-07-27 13:36:05.611,250.0,,2020-07-27 13:36:05.981,2020-07-27 13:36:05.981,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,326f0e32-798b-4cf1-97c9-c73e86baefa4,
2020-07-13 13:31:53.074,250.0,,2020-07-13 13:31:53.436,2020-07-13 13:31:53.436,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,01e60d1c-9ce8-45f9-a52c-a7409a5af632,
2020-07-18 17:22:13.863,250.0,,2020-07-18 17:22:14.220,2020-07-18 17:22:14.220,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,23a0334f-9e97-41e2-b6d0-8ddbddb966ea,
2020-07-15 04:18:17.984,250.0,,2020-07-15 04:18:18.351,2020-07-15 04:18:18.351,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,1ff0b635-1360-48bf-b198-baa4d869908c,
2020-07-07 12:36:27.127,250.0,,2020-07-07 12:36:27.487,2020-07-07 12:36:27.487,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,ba587352-f4f3-4313-b7f5-2d1f70fd8898,
2020-07-12 14:40:35.508,250.0,,2020-07-12 14:40:35.866,2020-07-12 14:40:35.866,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,721514b7-ff40-41b6-9869-548e5e7b5f47,
2020-07-29 18:11:06.782,250.0,,2020-07-29 18:11:07.152,2020-07-29 18:11:07.152,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,f0e14590-4f4f-421c-8334-6a646dfabd39,
2020-07-20 12:15:24.105,250.0,,2020-07-20 12:15:24.463,2020-07-20 12:15:24.463,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,066ad712-e71d-41a6-b070-152829e164be,
2020-07-29 18:11:09.476,250.0,,2020-07-29 18:11:09.839,2020-07-29 18:11:09.839,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,81ecd882-d9e4-4407-b60c-66416a86d8f4,
2020-07-28 17:19:34.982,250.0,,2020-07-28 17:19:35.351,2020-07-28 17:19:35.351,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,e769ba3c-f0d6-45ed-ba90-9159c0743849,
2020-07-10 15:00:46.689,250.0,,2020-07-10 15:00:47.048,2020-07-10 15:00:47.048,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,6496755a-fce8-4d47-91bf-66d59b6c866f,
2019-08-19 15:43:30.814,250.0,,2019-08-19 15:43:31.172,2019-08-19 15:43:31.172,,,UTC+0530,NCYwqyvfDX,250.0,,com.sec.android.app.shealth,f8f6266d-355e-4451-bf9c-07a7ef7b622d,
