com.samsung.shealth.calories_burned.details,6307003,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,fa051f13-8b2f-4f31-be62-16aa1b5d2b63.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.242,2023-04-09 17:01:45.598,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,fa051f13-8b2f-4f31-be62-16aa1b5d2b63,1680048000000,
,,58ae1c19-d48a-4645-b8a6-5456dba39571.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.255,2023-04-09 17:01:45.615,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,58ae1c19-d48a-4645-b8a6-5456dba39571,1680134400000,
,,9a1de821-d174-4b93-9e1c-dc1b326fb39e.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.271,2023-04-09 17:01:45.634,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,9a1de821-d174-4b93-9e1c-dc1b326fb39e,1680220800000,
,,a8e27044-59ec-48f8-a2d1-ec277211c6de.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.285,2023-04-09 17:01:45.643,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,a8e27044-59ec-48f8-a2d1-ec277211c6de,1680307200000,
,,5d38eb47-8668-4ff8-961d-3e460a17f96f.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.310,2023-04-09 17:01:45.661,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,5d38eb47-8668-4ff8-961d-3e460a17f96f,1680393600000,
,,c3b9ea22-4963-42c2-bfbb-509a6252f9e7.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.314,2023-04-09 17:01:45.682,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,c3b9ea22-4963-42c2-bfbb-509a6252f9e7,1680480000000,
,,681f05db-bd61-441c-9478-b52a0da3c300.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.322,2023-04-09 17:01:45.709,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,681f05db-bd61-441c-9478-b52a0da3c300,1680566400000,
,,6e7feae3-fa95-4049-a78b-291c96d21208.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.329,2023-04-09 17:01:45.730,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,6e7feae3-fa95-4049-a78b-291c96d21208,1680652800000,
,,de7df672-a5c8-40ae-a969-53a9b816e83b.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.338,2023-04-09 17:01:45.758,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,de7df672-a5c8-40ae-a969-53a9b816e83b,1680739200000,
,,f842529c-c539-4662-9fe9-2c1dfc4f06cf.extra_data.json,,,,0.0,0,1978.8325,,2023-04-09 20:32:40.343,2023-04-09 17:01:45.779,0.0,ZYfDZ77fyr,com.sec.android.app.shealth,f842529c-c539-4662-9fe9-2c1dfc4f06cf,1680825600000,
