date,water_ml
2019-08-19,2500.0
2020-07-06,1750.0
2020-07-07,2000.0
2020-07-08,3000.0
2020-07-09,3250.0
2020-07-10,2250.0
2020-07-11,1250.0
2020-07-12,3000.0
2020-07-13,2500.0
2020-07-14,3250.0
2020-07-15,3500.0
2020-07-16,3000.0
2020-07-17,1500.0
2020-07-18,3500.0
2020-07-19,750.0
2020-07-20,3250.0
2020-07-27,3250.0
2020-07-28,3000.0
2020-07-29,2750.0
2021-04-10,4000.0
2024-01-18,1000.0
